timestamp,fermentador,T,SP,banda,cold,hot,nutricion_activa,freq_nut
2026-01-13 17:01:26,F1,20.4,20.00,0.50,1,0,0,8000.0
2026-01-13 17:01:27,F1,20.2,20.00,0.50,1,0,0,8000.0
2026-01-13 17:01:28,F1,20.0,20.00,0.50,1,0,0,8000.0
2026-01-13 17:01:29,F1,19.8,20.00,0.50,1,0,0,8000.0
2026-01-13 17:01:30,F1,19.6,20.00,0.50,1,0,0,8000.0
2026-01-13 17:01:32,F1,19.4,20.00,0.50,0,1,0,8000.0
2026-01-13 17:01:33,F1,19.7,20.00,0.50,0,1,0,8000.0
2026-01-13 17:01:34,F1,20.0,20.00,0.50,0,1,0,8000.0
2026-01-13 17:01:35,F1,20.4,20.00,0.50,0,1,0,8000.0
2026-01-13 17:01:36,F1,20.7,20.00,0.50,1,0,0,8000.0
2026-01-13 17:01:37,F1,20.5,20.00,0.50,1,0,0,8000.0
2026-01-13 17:01:38,F1,20.3,20.00,0.50,1,0,0,8000.0
2026-01-13 17:01:39,F1,20.1,20.00,0.50,1,0,0,8000.0
2026-01-13 17:01:40,F1,19.9,20.00,0.50,1,0,0,8000.0
2026-01-13 17:01:41,F1,19.7,20.00,0.50,1,0,0,8000.0
2026-01-13 17:01:42,F1,19.5,20.00,0.50,1,0,0,8000.0
2026-01-13 17:01:43,F1,19.4,20.00,0.50,0,1,0,8000.0
2026-01-13 17:01:44,F1,19.7,20.00,0.50,0,1,0,8000.0
2026-01-13 17:01:45,F1,20.0,20.00,0.50,0,1,0,8000.0
2026-01-13 17:01:46,F1,20.3,20.00,0.50,0,1,0,8000.0
2026-01-13 17:01:47,F1,20.7,20.00,0.50,1,0,0,8000.0
2026-01-13 17:01:48,F1,20.5,20.00,0.50,1,0,0,8000.0
2026-01-13 17:01:49,F1,20.3,20.00,0.50,1,0,0,8000.0
2026-01-13 17:01:50,F1,20.1,20.00,0.50,1,0,0,8000.0
2026-01-13 17:01:51,F1,19.9,20.00,0.50,1,0,0,8000.0
2026-01-13 17:01:52,F1,19.7,20.00,0.50,1,0,0,8000.0
