timestamp,fermentador,flow_sccm,rate_g_l_h,current_ma,voltage_v,status
2026-01-13 23:12:33,F1,3.7275,0.087851,5.193,0.8568,OK
2026-01-13 23:12:43,F1,4.9345,0.116296,5.579,0.9205,OK
2026-01-13 23:12:53,F1,5.3202,0.125387,5.702,0.9409,OK
2026-01-13 23:13:03,F1,6.3380,0.149374,6.028,0.9946,OK
2026-01-13 23:13:13,F1,6.8640,0.161770,6.196,1.0224,OK
2026-01-13 23:13:23,F1,7.8406,0.184786,6.509,1.0740,OK
2026-01-13 23:15:45,F1,16.8019,0.395987,9.377,1.5471,OK
2026-01-13 23:15:55,F1,17.1698,0.404659,9.494,1.5666,OK
2026-01-13 23:16:05,F1,17.5290,0.413123,9.609,1.5855,OK
2026-01-13 23:18:21,F1,1.6614,0.039156,4.532,0.7477,OK
2026-01-13 23:18:22,F1,1.9005,0.044790,4.608,0.7603,OK
2026-01-13 23:18:23,F1,2.2333,0.052635,4.715,0.7779,OK
2026-01-13 23:18:24,F1,2.3387,0.055119,4.748,0.7835,OK
2026-01-13 23:18:25,F1,2.1241,0.050060,4.680,0.7722,OK
2026-01-19 11:46:17,F1,23.5438,0.554880,11.534,1.6955,OK
2026-01-19 11:46:27,F1,23.5996,0.556195,11.552,1.6981,OK
2026-01-19 11:46:37,F1,23.6421,0.557197,11.565,1.7001,OK
